scope,grouping,group,n_pairs,n_judgments,raw_accuracy,raw_close_accuracy,raw_far_accuracy,raw_both_correct,raw_exact_ties,pmi_accuracy,pmi_close_accuracy,pmi_far_accuracy,pmi_both_correct,pmi_exact_ties,context_accuracy,context_close_accuracy,context_far_accuracy,context_both_correct,context_exact_ties,raw_close_choice_fraction
all,mode+wording_family_id+target_order,close_only|direct_labels|person_first,336,672,0.6607142857142857,0.9166666666666666,0.40476190476190477,0.33035714285714285,0,0.7544642857142857,0.6101190476190477,0.8988095238095238,0.5089285714285714,0,0.5119047619047619,0.9910714285714286,0.03273809523809524,0.023809523809523808,0,0.7559523809523809
all,mode+wording_family_id+target_order,symmetric_pair|direct_labels|person_first,120,240,0.9541666666666667,0.9083333333333333,1.0,0.9083333333333333,0,0.7916666666666666,0.5833333333333334,1.0,0.5833333333333334,0,0.9791666666666666,0.975,0.9833333333333333,0.9583333333333334,0,0.45416666666666666
all,mode+wording_family_id+target_order,close_only|proximity_synonyms|person_first,336,672,0.44642857142857145,0.4880952380952381,0.40476190476190477,0.125,0,0.5267857142857143,0.15476190476190477,0.8988095238095238,0.09523809523809523,0,0.5074404761904762,0.9345238095238095,0.08035714285714286,0.023809523809523808,0,0.5416666666666666
all,mode+wording_family_id+target_order,symmetric_pair|proximity_synonyms|person_first,120,240,0.6041666666666666,0.4583333333333333,0.75,0.30833333333333335,0,0.5375,0.14166666666666666,0.9333333333333333,0.1,0,0.5041666666666667,0.03333333333333333,0.975,0.03333333333333333,0,0.3541666666666667
all,mode+wording_family_id+target_order,close_only|distance_short_long|person_first,336,672,0.3273809523809524,0.25,0.40476190476190477,0.03869047619047619,0,0.45982142857142855,0.020833333333333332,0.8988095238095238,0.002976190476190476,0,0.48214285714285715,0.9285714285714286,0.03571428571428571,0.0,0,0.4226190476190476
all,mode+wording_family_id+target_order,symmetric_pair|distance_short_long|person_first,120,240,0.5833333333333334,0.24166666666666667,0.925,0.16666666666666666,0,0.5041666666666667,0.025,0.9833333333333333,0.008333333333333333,0,0.7166666666666667,0.7333333333333333,0.7,0.43333333333333335,0,0.15833333333333333
all,mode+wording_family_id+target_order,close_only|distance_small_large|person_first,336,672,0.2931547619047619,0.18154761904761904,0.40476190476190477,0.03869047619047619,0,0.47619047619047616,0.05357142857142857,0.8988095238095238,0.03273809523809524,0,0.4732142857142857,0.9226190476190477,0.023809523809523808,0.0,0,0.38839285714285715
all,mode+wording_family_id+target_order,symmetric_pair|distance_small_large|person_first,120,240,0.5458333333333333,0.175,0.9166666666666666,0.09166666666666666,0,0.5166666666666667,0.041666666666666664,0.9916666666666667,0.03333333333333333,0,0.6791666666666667,0.9666666666666667,0.39166666666666666,0.35833333333333334,0,0.12916666666666668
all,mode+wording_family_id+target_order,original_baseline|original_placement|object_first,336,672,0.44494047619047616,0.8244047619047619,0.06547619047619048,0.026785714285714284,0,0.4419642857142857,0.7946428571428571,0.08928571428571429,0.050595238095238096,0,0.4851190476190476,0.8452380952380952,0.125,0.03869047619047619,0,0.8794642857142857
all,mode+wording_family_id+target_order,close_only|direct_labels|object_first,336,672,0.5252976190476191,0.9851190476190477,0.06547619047619048,0.0625,0,0.4791666666666667,0.8690476190476191,0.08928571428571429,0.06845238095238096,0,0.5029761904761905,0.9970238095238095,0.008928571428571428,0.008928571428571428,0,0.9598214285714286
