contrast,grouping,group,target_a_label,target_b_label,n_pairs,n_target_judgments,n_correct,context_sensitivity_accuracy,target_a_accuracy,target_b_accuracy,both_correct_count,both_correct_fraction,both_wrong_fraction,same_context_preferred_fraction,exact_ties,mean_a_margin,mean_b_margin
farther_vs_unchanged,object_id,obj_flag,farther,unchanged,864,1728,1004,0.5810185185185185,0.35532407407407407,0.8067129629629629,152,0.17592592592592593,0.013888888888888888,0.8101851851851852,0,-0.03008567307282377,0.05939313741745772
farther_vs_unchanged,object_id,obj_bicycle,farther,unchanged,864,1728,928,0.5370370370370371,0.47453703703703703,0.5995370370370371,97,0.11226851851851852,0.03819444444444445,0.8495370370370371,0,0.0027215948535336387,0.030002320254290546
closer_vs_farther,numeric_case_id,num_00,closer,farther,216,432,178,0.41203703703703703,0.4583333333333333,0.36574074074074076,7,0.032407407407407406,0.20833333333333334,0.7592592592592593,0,-0.0028188592857784694,-0.00838018677852772
closer_vs_farther,numeric_case_id,num_01,closer,farther,216,432,159,0.3680555555555556,0.2638888888888889,0.4722222222222222,3,0.013888888888888888,0.2777777777777778,0.7083333333333334,0,-0.028749583495987788,-0.001178267377394217
closer_vs_farther,numeric_case_id,num_02,closer,farther,216,432,203,0.4699074074074074,0.5879629629629629,0.35185185185185186,11,0.05092592592592592,0.1111111111111111,0.8379629629629629,0,0.007297052829353897,-0.007588066436626293
closer_vs_farther,numeric_case_id,num_03,closer,farther,216,432,184,0.42592592592592593,0.5046296296296297,0.3472222222222222,5,0.023148148148148147,0.1712962962962963,0.8055555555555556,0,-0.0004942301246854994,-0.008850073372876202
closer_vs_farther,numeric_case_id,num_04,closer,farther,216,432,163,0.3773148148148148,0.4537037037037037,0.30092592592592593,7,0.032407407407407406,0.2777777777777778,0.6898148148148148,0,-0.005153679185443454,-0.020532839276172495
closer_vs_farther,numeric_case_id,num_05,closer,farther,216,432,177,0.4097222222222222,0.4675925925925926,0.35185185185185186,14,0.06481481481481481,0.24537037037037038,0.6898148148148148,0,0.0005565821020691483,-0.01663458126562613
closer_vs_farther,numeric_case_id,num_06,closer,farther,216,432,172,0.39814814814814814,0.25462962962962965,0.5416666666666666,6,0.027777777777777776,0.23148148148148148,0.7407407407407407,0,-0.015072297166894984,-0.00010124014483557807
closer_vs_farther,numeric_case_id,num_07,closer,farther,216,432,268,0.6203703703703703,0.5648148148148148,0.6759259259259259,86,0.39814814814814814,0.1574074074074074,0.4444444444444444,0,0.006234106090333726,0.011744139922989739
closer_vs_farther,numeric_case_id,num_08,closer,farther,216,432,161,0.3726851851851852,0.4351851851851852,0.3101851851851852,4,0.018518518518518517,0.27314814814814814,0.7083333333333334,0,-0.0033784216200863876,-0.017357320145324425
closer_vs_farther,numeric_case_id,num_09,closer,farther,216,432,156,0.3611111111111111,0.4675925925925926,0.25462962962962965,3,0.013888888888888888,0.2916666666666667,0.6944444444444444,0,-0.002192169427871704,-0.02276020414299435
closer_vs_farther,numeric_case_id,num_10,closer,farther,216,432,171,0.3958333333333333,0.49537037037037035,0.2962962962962963,7,0.032407407407407406,0.24074074074074073,0.7268518518518519,0,0.00998173267753036,-0.02441513924686997
closer_vs_farther,numeric_case_id,num_11,closer,farther,216,432,192,0.4444444444444444,0.4398148148148148,0.44907407407407407,14,0.06481481481481481,0.17592592592592593,0.7592592592592593,0,0.002034214911637483,-0.009236777270281757
closer_vs_unchanged,numeric_case_id,num_00,closer,unchanged,216,432,270,0.625,0.47685185185185186,0.7731481481481481,56,0.25925925925925924,0.009259259259259259,0.7314814814814815,0,0.0034185366498099435,0.05733458256279981
closer_vs_unchanged,numeric_case_id,num_01,closer,unchanged,216,432,242,0.5601851851851852,0.3194444444444444,0.8009259259259259,31,0.14351851851851852,0.023148148148148147,0.8333333333333334,0,-0.031177626715766057,0.05911137494775984
closer_vs_unchanged,numeric_case_id,num_02,closer,unchanged,216,432,257,0.5949074074074074,0.4027777777777778,0.7870370370370371,42,0.19444444444444445,0.004629629629629629,0.8009259259259259,0,-0.006462065158066926,0.059676613520692895
closer_vs_unchanged,numeric_case_id,num_03,closer,unchanged,216,432,281,0.6504629629629629,0.4398148148148148,0.8611111111111112,65,0.30092592592592593,0.0,0.6990740740740741,0,-0.009630071896093863,0.06892332765791151
closer_vs_unchanged,numeric_case_id,num_04,closer,unchanged,216,432,261,0.6041666666666666,0.39351851851851855,0.8148148148148148,47,0.2175925925925926,0.009259259259259259,0.7731481481481481,0,-0.02164567951802854,0.05605059806947355
closer_vs_unchanged,numeric_case_id,num_05,closer,unchanged,216,432,249,0.5763888888888888,0.38425925925925924,0.7685185185185185,36,0.16666666666666666,0.013888888888888888,0.8194444444444444,0,-0.014661464978147435,0.04849198736526348
closer_vs_unchanged,numeric_case_id,num_06,closer,unchanged,216,432,268,0.6203703703703703,0.44907407407407407,0.7916666666666666,52,0.24074074074074073,0.0,0.7592592592592593,0,0.002065348404425162,0.0489067413188793
closer_vs_unchanged,numeric_case_id,num_07,closer,unchanged,216,432,267,0.6180555555555556,0.4305555555555556,0.8055555555555556,52,0.24074074074074073,0.004629629629629629,0.7546296296296297,0,-0.003628670065491288,0.06163640651437971
closer_vs_unchanged,numeric_case_id,num_08,closer,unchanged,216,432,247,0.5717592592592593,0.4166666666666667,0.7268518518518519,32,0.14814814814814814,0.004629629629629629,0.8472222222222222,0,-0.008671527107556662,0.055012337035602994
closer_vs_unchanged,numeric_case_id,num_09,closer,unchanged,216,432,265,0.6134259259259259,0.4583333333333333,0.7685185185185185,49,0.22685185185185186,0.0,0.7731481481481481,0,0.0018480326290483827,0.0505786234581912
closer_vs_unchanged,numeric_case_id,num_10,closer,unchanged,216,432,260,0.6018518518518519,0.44907407407407407,0.7546296296296297,44,0.2037037037037037,0.0,0.7962962962962963,0,-0.0018647798785456904,0.04362016750706567
closer_vs_unchanged,numeric_case_id,num_11,closer,unchanged,216,432,278,0.6435185185185185,0.47685185185185186,0.8101851851851852,64,0.2962962962962963,0.009259259259259259,0.6944444444444444,0,0.014164924621582031,0.04260913696553972
farther_vs_unchanged,numeric_case_id,num_00,farther,unchanged,216,432,239,0.5532407407407407,0.4212962962962963,0.6851851851851852,29,0.13425925925925927,0.027777777777777776,0.8379629629629629,0,-0.026746334852995695,0.046405416947823984
farther_vs_unchanged,numeric_case_id,num_01,farther,unchanged,216,432,248,0.5740740740740741,0.37962962962962965,0.7685185185185185,38,0.17592592592592593,0.027777777777777776,0.7962962962962963,0,-0.010259784482143543,0.05602053304513296
farther_vs_unchanged,numeric_case_id,num_02,farther,unchanged,216,432,251,0.5810185185185185,0.35648148148148145,0.8055555555555556,38,0.17592592592592593,0.013888888888888888,0.8101851851851852,0,-0.030963768009786254,0.07040228998219525
farther_vs_unchanged,numeric_case_id,num_03,farther,unchanged,216,432,254,0.5879629629629629,0.39814814814814814,0.7777777777777778,41,0.18981481481481483,0.013888888888888888,0.7962962962962963,0,-0.021275688100744178,0.06352909902731578
farther_vs_unchanged,numeric_case_id,num_04,farther,unchanged,216,432,244,0.5648148148148148,0.3888888888888889,0.7407407407407407,31,0.14351851851851852,0.013888888888888888,0.8425925925925926,0,-0.0357340243127611,0.05613244242138333
farther_vs_unchanged,numeric_case_id,num_05,farther,unchanged,216,432,250,0.5787037037037037,0.38425925925925924,0.7731481481481481,39,0.18055555555555555,0.023148148148148147,0.7962962962962963,0,-0.02475665620079747,0.056705475957305344
farther_vs_unchanged,numeric_case_id,num_06,farther,unchanged,216,432,239,0.5532407407407407,0.44907407407407407,0.6574074074074074,28,0.12962962962962962,0.023148148148148147,0.8472222222222222,0,-0.003363239544409293,0.03119528293609619
farther_vs_unchanged,numeric_case_id,num_07,farther,unchanged,216,432,253,0.5856481481481481,0.4166666666666667,0.7546296296296297,39,0.18055555555555555,0.009259259259259259,0.8101851851851852,0,-0.02940135697523753,0.0619369524496573
farther_vs_unchanged,numeric_case_id,num_08,farther,unchanged,216,432,228,0.5277777777777778,0.3472222222222222,0.7083333333333334,17,0.0787037037037037,0.023148148148148147,0.8981481481481481,0,-0.032983571842864705,0.04294124080075158
farther_vs_unchanged,numeric_case_id,num_09,farther,unchanged,216,432,231,0.5347222222222222,0.3333333333333333,0.7361111111111112,21,0.09722222222222222,0.027777777777777776,0.875,0,-0.03251028502428973,0.051621123044579116
farther_vs_unchanged,numeric_case_id,num_10,farther,unchanged,216,432,242,0.5601851851851852,0.4351851851851852,0.6851851851851852,32,0.14814814814814814,0.027777777777777776,0.8240740740740741,0,-0.018587568291911372,0.04709584845436944
farther_vs_unchanged,numeric_case_id,num_11,farther,unchanged,216,432,254,0.5879629629629629,0.41203703703703703,0.7638888888888888,42,0.19444444444444445,0.018518518518518517,0.7870370370370371,0,-0.0124575423973578,0.04133706291516622
