scope,grouping,group,n_pairs,n_judgments,raw_accuracy,raw_close_accuracy,raw_far_accuracy,raw_both_correct,raw_exact_ties,pmi_accuracy,pmi_close_accuracy,pmi_far_accuracy,pmi_both_correct,pmi_exact_ties,context_accuracy,context_close_accuracy,context_far_accuracy,context_both_correct,context_exact_ties,raw_close_choice_fraction
all,condition_id+target_order+object_id,physical_placement_fronted|object_first|obj_coin,16,32,0.78125,0.75,0.8125,0.625,0,0.75,0.75,0.75,0.5625,0,0.53125,0.1875,0.875,0.0625,0,0.46875
all,condition_id+target_order+object_id,physical_placement_person_subject|person_first|obj_coin,16,32,0.9375,1.0,0.875,0.875,0,0.9375,1.0,0.875,0.875,0,0.5625,0.125,1.0,0.125,0,0.5625
all,condition_id+target_order+object_id,physical_placement_person_subject|object_first|obj_coin,16,32,0.75,1.0,0.5,0.5,0,0.78125,1.0,0.5625,0.5625,0,0.65625,0.5,0.8125,0.3125,0,0.75
all,condition_id+target_order+object_id,physical_placement|person_first|obj_marble,16,32,0.84375,1.0,0.6875,0.6875,0,0.75,0.5,1.0,0.5,0,0.625,0.375,0.875,0.25,0,0.65625
all,condition_id+target_order+object_id,physical_placement|object_first|obj_marble,16,32,0.875,1.0,0.75,0.75,0,0.6875,0.75,0.625,0.4375,0,0.5,0.1875,0.8125,0.125,0,0.625
all,condition_id+target_order+object_id,physical_placement_fronted|person_first|obj_marble,16,32,0.9375,1.0,0.875,0.875,0,0.875,0.75,1.0,0.75,0,0.84375,0.6875,1.0,0.6875,0,0.5625
all,condition_id+target_order+object_id,physical_placement_fronted|object_first|obj_marble,16,32,0.71875,0.5,0.9375,0.4375,0,0.625,0.25,1.0,0.25,0,0.59375,0.25,0.9375,0.1875,0,0.28125
all,condition_id+target_order+object_id,physical_placement_person_subject|person_first|obj_marble,16,32,0.84375,1.0,0.6875,0.6875,0,1.0,1.0,1.0,1.0,0,0.5,0.0,1.0,0.0,0,0.65625
all,condition_id+target_order+object_id,physical_placement_person_subject|object_first|obj_marble,16,32,0.6875,0.75,0.625,0.375,0,0.78125,0.75,0.8125,0.5625,0,0.625,0.3125,0.9375,0.25,0,0.5625
all,condition_id+target_order+object_id,physical_placement|person_first|obj_pebble,16,32,0.9375,1.0,0.875,0.875,0,0.875,0.75,1.0,0.75,0,0.65625,0.5,0.8125,0.3125,0,0.5625
all,condition_id+target_order+object_id,physical_placement|object_first|obj_pebble,16,32,0.875,1.0,0.75,0.75,0,0.75,1.0,0.5,0.5,0,0.59375,0.25,0.9375,0.1875,0,0.625
all,condition_id+target_order+object_id,physical_placement_fronted|person_first|obj_pebble,16,32,0.96875,1.0,0.9375,0.9375,0,1.0,1.0,1.0,1.0,0,0.6875,0.5,0.875,0.375,0,0.53125
all,condition_id+target_order+object_id,physical_placement_fronted|object_first|obj_pebble,16,32,0.6875,0.5,0.875,0.375,0,0.90625,1.0,0.8125,0.8125,0,0.46875,0.0,0.9375,0.0,0,0.3125
all,condition_id+target_order+object_id,physical_placement_person_subject|person_first|obj_pebble,16,32,0.875,1.0,0.75,0.75,0,0.96875,1.0,0.9375,0.9375,0,0.5,0.0,1.0,0.0,0,0.625
all,condition_id+target_order+object_id,physical_placement_person_subject|object_first|obj_pebble,16,32,0.65625,0.75,0.5625,0.3125,0,0.75,1.0,0.5,0.5,0,0.5625,0.25,0.875,0.125,0,0.59375
all,condition_id+target_order+name_id,physical_placement|person_first|name_0,144,288,0.9861111111111112,1.0,0.9722222222222222,0.9722222222222222,0,0.9548611111111112,0.9166666666666666,0.9930555555555556,0.9097222222222222,0,0.6979166666666666,0.6458333333333334,0.75,0.3958333333333333,0,0.5138888888888888
all,condition_id+target_order+name_id,physical_placement|object_first|name_0,144,288,0.7430555555555556,0.8333333333333334,0.6527777777777778,0.5416666666666666,0,0.6805555555555556,0.9444444444444444,0.4166666666666667,0.375,0,0.5451388888888888,0.3958333333333333,0.6944444444444444,0.09722222222222222,0,0.5902777777777778
