grouping,group,n_pairs,n_judgments,binary_accuracy,above_gold_accuracy,below_gold_accuracy,both_correct_fraction,above_word_chosen_fraction,context_sensitivity_accuracy,exact_choice_ties
event_family+context_entity_order,static_placement|target_first,288,576,0.5069444444444444,0.6458333333333334,0.3680555555555556,0.0763888888888889,0.6319444444444444,0.4774305555555556,0
event_family+context_entity_order,static_placement|reference_first,288,576,0.5017361111111112,0.4791666666666667,0.5243055555555556,0.04861111111111111,0.703125,0.4965277777777778,0
event_family+context_entity_order,target_crosses|target_first,192,384,0.4973958333333333,0.6302083333333334,0.3645833333333333,0.010416666666666666,0.8255208333333334,0.4921875,0
event_family+context_entity_order,target_crosses|reference_first,192,384,0.5078125,0.5572916666666666,0.4583333333333333,0.020833333333333332,0.8567708333333334,0.5130208333333334,0
event_family+context_entity_order,reference_crosses|target_first,192,384,0.5104166666666666,0.5885416666666666,0.4322916666666667,0.03125,0.8385416666666666,0.515625,0
event_family+context_entity_order,reference_crosses|reference_first,192,384,0.4947916666666667,0.4947916666666667,0.4947916666666667,0.010416666666666666,0.90625,0.5390625,0
event_family+context_entity_order,target_moves_without_crossing|target_first,192,384,0.4973958333333333,0.625,0.3697916666666667,0.03125,0.7942708333333334,0.4921875,0
event_family+context_entity_order,target_moves_without_crossing|reference_first,192,384,0.5078125,0.5572916666666666,0.4583333333333333,0.03125,0.8671875,0.4973958333333333,0
event_family+context_entity_order,both_move|target_first,288,576,0.4982638888888889,0.53125,0.4652777777777778,0.003472222222222222,0.9461805555555556,0.5069444444444444,0
event_family+context_entity_order,both_move|reference_first,288,576,0.5,0.5208333333333334,0.4791666666666667,0.0,0.9791666666666666,0.5121527777777778,0
event_family+context_entity_order,direct_label_control|target_first,48,96,0.5104166666666666,0.5416666666666666,0.4791666666666667,0.4375,0.46875,0.53125,0
event_family+context_entity_order,direct_label_control|reference_first,48,96,0.5520833333333334,0.5208333333333334,0.5833333333333334,0.4791666666666667,0.4895833333333333,0.5729166666666666,0
event_family+target_entity_order,static_placement|target_first,288,576,0.4826388888888889,0.7083333333333334,0.2569444444444444,0.04513888888888889,0.7256944444444444,0.4427083333333333,0
event_family+target_entity_order,static_placement|reference_first,288,576,0.5260416666666666,0.4166666666666667,0.6354166666666666,0.0798611111111111,0.609375,0.53125,0
event_family+target_entity_order,target_crosses|target_first,192,384,0.515625,0.9479166666666666,0.08333333333333333,0.03125,0.9322916666666666,0.5390625,0
event_family+target_entity_order,target_crosses|reference_first,192,384,0.4895833333333333,0.23958333333333334,0.7395833333333334,0.0,0.75,0.4661458333333333,0
event_family+target_entity_order,reference_crosses|target_first,192,384,0.4895833333333333,0.9010416666666666,0.078125,0.005208333333333333,0.9114583333333334,0.5026041666666666,0
event_family+target_entity_order,reference_crosses|reference_first,192,384,0.515625,0.18229166666666666,0.8489583333333334,0.036458333333333336,0.8333333333333334,0.5520833333333334,0
event_family+target_entity_order,target_moves_without_crossing|target_first,192,384,0.4817708333333333,0.9010416666666666,0.0625,0.0,0.9192708333333334,0.4661458333333333,0
event_family+target_entity_order,target_moves_without_crossing|reference_first,192,384,0.5234375,0.28125,0.765625,0.0625,0.7421875,0.5234375,0
event_family+target_entity_order,both_move|target_first,288,576,0.5,0.9895833333333334,0.010416666666666666,0.0,0.9895833333333334,0.5138888888888888,0
event_family+target_entity_order,both_move|reference_first,288,576,0.4982638888888889,0.0625,0.9340277777777778,0.003472222222222222,0.9357638888888888,0.5052083333333334,0
event_family+target_entity_order,direct_label_control|target_first,48,96,0.5208333333333334,0.5,0.5416666666666666,0.4583333333333333,0.4791666666666667,0.5,0
event_family+target_entity_order,direct_label_control|reference_first,48,96,0.5416666666666666,0.5625,0.5208333333333334,0.4583333333333333,0.4791666666666667,0.6041666666666666,0
event_family+object_pair_id,static_placement|ball_cone,144,288,0.5034722222222222,0.5208333333333334,0.4861111111111111,0.027777777777777776,0.78125,0.4895833333333333,0
event_family+object_pair_id,static_placement|cup_box,144,288,0.5138888888888888,0.4583333333333333,0.5694444444444444,0.05555555555555555,0.6458333333333334,0.4965277777777778,0
event_family+object_pair_id,static_placement|book_jar,144,288,0.5520833333333334,0.6458333333333334,0.4583333333333333,0.125,0.7048611111111112,0.5,0
event_family+object_pair_id,static_placement|toy_key,144,288,0.4479166666666667,0.625,0.2708333333333333,0.041666666666666664,0.5381944444444444,0.4618055555555556,0
event_family+object_pair_id,target_crosses|ball_cone,96,192,0.5,0.5,0.5,0.010416666666666666,0.9270833333333334,0.5,0
event_family+object_pair_id,target_crosses|cup_box,96,192,0.5052083333333334,0.5416666666666666,0.46875,0.020833333333333332,0.8385416666666666,0.5260416666666666,0
event_family+object_pair_id,target_crosses|book_jar,96,192,0.5,0.5625,0.4375,0.020833333333333332,0.9166666666666666,0.4895833333333333,0
event_family+object_pair_id,target_crosses|toy_key,96,192,0.5052083333333334,0.7708333333333334,0.23958333333333334,0.010416666666666666,0.6822916666666666,0.4947916666666667,0
event_family+object_pair_id,reference_crosses|ball_cone,96,192,0.5104166666666666,0.5208333333333334,0.5,0.020833333333333332,0.9479166666666666,0.53125,0
event_family+object_pair_id,reference_crosses|cup_box,96,192,0.4895833333333333,0.46875,0.5104166666666666,0.010416666666666666,0.84375,0.515625,0
event_family+object_pair_id,reference_crosses|book_jar,96,192,0.5,0.5208333333333334,0.4791666666666667,0.020833333333333332,0.9583333333333334,0.5,0
event_family+object_pair_id,reference_crosses|toy_key,96,192,0.5104166666666666,0.65625,0.3645833333333333,0.03125,0.7395833333333334,0.5625,0
event_family+object_pair_id,target_moves_without_crossing|ball_cone,96,192,0.4947916666666667,0.4791666666666667,0.5104166666666666,0.0,0.9427083333333334,0.4791666666666667,0
event_family+object_pair_id,target_moves_without_crossing|cup_box,96,192,0.5052083333333334,0.5625,0.4479166666666667,0.03125,0.8072916666666666,0.5104166666666666,0
event_family+object_pair_id,target_moves_without_crossing|book_jar,96,192,0.5104166666666666,0.5729166666666666,0.4479166666666667,0.03125,0.9375,0.5,0
event_family+object_pair_id,target_moves_without_crossing|toy_key,96,192,0.5,0.75,0.25,0.0625,0.6354166666666666,0.4895833333333333,0
event_family+object_pair_id,both_move|ball_cone,144,288,0.5,0.5,0.5,0.0,1.0,0.5104166666666666,0
event_family+object_pair_id,both_move|cup_box,144,288,0.4930555555555556,0.5069444444444444,0.4791666666666667,0.0,0.9861111111111112,0.4895833333333333,0
event_family+object_pair_id,both_move|book_jar,144,288,0.5,0.5,0.5,0.0,1.0,0.5034722222222222,0
event_family+object_pair_id,both_move|toy_key,144,288,0.5034722222222222,0.5972222222222222,0.4097222222222222,0.006944444444444444,0.8645833333333334,0.5347222222222222,0
event_family+object_pair_id,direct_label_control|ball_cone,24,48,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,0.5416666666666666,0.5416666666666666,0
event_family+object_pair_id,direct_label_control|cup_box,24,48,0.5208333333333334,0.5,0.5416666666666666,0.4583333333333333,0.4375,0.5833333333333334,0
event_family+object_pair_id,direct_label_control|book_jar,24,48,0.4791666666666667,0.4583333333333333,0.5,0.4166666666666667,0.4791666666666667,0.5208333333333334,0
event_family+object_pair_id,direct_label_control|toy_key,24,48,0.5416666666666666,0.5833333333333334,0.5,0.4583333333333333,0.4583333333333333,0.5625,0
