dataset,grouping,group,n_pairs,n_contexts,raw_accuracy,raw_closer_accuracy,raw_farther_accuracy,raw_both_correct,raw_exact_ties,pmi_accuracy,pmi_closer_accuracy,pmi_farther_accuracy,pmi_both_correct,pmi_exact_ties,context_accuracy,context_closer_accuracy,context_farther_accuracy,context_both_correct,context_exact_ties
non_numeric,length_band+object_id,minimal|obj_mailbox,4,8,0.5,1.0,0.0,0.0,0,0.5,0.0,1.0,0.0,0,0.5,1.0,0.0,0.0,0
non_numeric,length_band+object_id,minimal_stationary|obj_mailbox,4,8,0.625,1.0,0.25,0.25,0,0.5,0.0,1.0,0.0,0,0.625,1.0,0.25,0.25,0
numeric_aligned,length_band+object_id,compact|obj_cone,144,288,0.4930555555555556,0.9444444444444444,0.041666666666666664,0.006944444444444444,0,0.4965277777777778,0.1597222222222222,0.8333333333333334,0.0,0,0.40625,0.22916666666666666,0.5833333333333334,0.006944444444444444,0
numeric_aligned,length_band+object_id,standard|obj_cone,144,288,0.4930555555555556,0.9861111111111112,0.0,0.0,0,0.4201388888888889,0.2777777777777778,0.5625,0.0,0,0.2916666666666667,0.013888888888888888,0.5694444444444444,0.0,0
numeric_aligned,length_band+object_id,expanded|obj_cone,144,288,0.5,1.0,0.0,0.0,0,0.4548611111111111,0.6597222222222222,0.25,0.0,0,0.3888888888888889,0.6388888888888888,0.1388888888888889,0.0,0
numeric_aligned,length_band+object_id,compact|obj_flag,144,288,0.5,1.0,0.0,0.0,0,0.5,0.0,1.0,0.0,0,0.4236111111111111,0.2569444444444444,0.5902777777777778,0.0,0
numeric_aligned,length_band+object_id,standard|obj_flag,144,288,0.5,1.0,0.0,0.0,0,0.4583333333333333,0.0,0.9166666666666666,0.0,0,0.3368055555555556,0.0,0.6736111111111112,0.0,0
numeric_aligned,length_band+object_id,expanded|obj_flag,144,288,0.5,1.0,0.0,0.0,0,0.4548611111111111,0.11805555555555555,0.7916666666666666,0.0,0,0.1736111111111111,0.1875,0.1597222222222222,0.0,0
numeric_aligned,length_band+object_id,compact|obj_bicycle,144,288,0.4027777777777778,0.7083333333333334,0.09722222222222222,0.0,0,0.4548611111111111,0.125,0.7847222222222222,0.0,0,0.375,0.0,0.75,0.0,0
numeric_aligned,length_band+object_id,standard|obj_bicycle,144,288,0.5,1.0,0.0,0.0,0,0.3680555555555556,0.5625,0.1736111111111111,0.0,0,0.2326388888888889,0.027777777777777776,0.4375,0.0,0
numeric_aligned,length_band+object_id,expanded|obj_bicycle,144,288,0.5,1.0,0.0,0.0,0,0.4548611111111111,0.7777777777777778,0.13194444444444445,0.0,0,0.25,0.4236111111111111,0.0763888888888889,0.0,0
numeric_aligned,length_band+object_id,compact|obj_bench,144,288,0.3958333333333333,0.7430555555555556,0.04861111111111111,0.0,0,0.4618055555555556,0.006944444444444444,0.9166666666666666,0.0,0,0.2916666666666667,0.0,0.5833333333333334,0.0,0
numeric_aligned,length_band+object_id,standard|obj_bench,144,288,0.5,1.0,0.0,0.0,0,0.3333333333333333,0.24305555555555555,0.4236111111111111,0.0,0,0.3125,0.041666666666666664,0.5833333333333334,0.0,0
numeric_aligned,length_band+object_id,expanded|obj_bench,144,288,0.5,1.0,0.0,0.0,0,0.4513888888888889,0.7569444444444444,0.14583333333333334,0.0,0,0.3958333333333333,0.6319444444444444,0.1597222222222222,0.0,0
numeric_aligned,length_band+object_id,compact|obj_mailbox,144,288,0.4965277777777778,0.9791666666666666,0.013888888888888888,0.0,0,0.5,0.0,1.0,0.0,0,0.3819444444444444,0.2638888888888889,0.5,0.0,0
numeric_aligned,length_band+object_id,standard|obj_mailbox,144,288,0.5,1.0,0.0,0.0,0,0.5,0.0,1.0,0.0,0,0.2326388888888889,0.034722222222222224,0.4305555555555556,0.0,0
numeric_aligned,length_band+object_id,expanded|obj_mailbox,144,288,0.5,1.0,0.0,0.0,0,0.4930555555555556,0.0,0.9861111111111112,0.0,0,0.3819444444444444,0.625,0.1388888888888889,0.0,0
